id,postcode,SUBZONE_C,PLN_AREA_C,REGION_C
3,89663,OTSZ03,OT,CR
3,89589,OTSZ03,OT,CR
3,89495,OTSZ03,OT,CR
3,88819,OTSZ03,OT,CR
3,89497,OTSZ03,OT,CR
3,88820,OTSZ03,OT,CR
3,88456,OTSZ03,OT,CR
3,78973,OTSZ03,OT,CR
3,89612,OTSZ03,OT,CR
3,79026,OTSZ03,OT,CR
3,89613,OTSZ03,OT,CR
3,89499,OTSZ03,OT,CR
3,88821,OTSZ03,OT,CR
3,78974,OTSZ03,OT,CR
3,89674,OTSZ03,OT,CR
3,89614,OTSZ03,OT,CR
3,89500,OTSZ03,OT,CR
3,78975,OTSZ03,OT,CR
3,89675,OTSZ03,OT,CR
3,89615,OTSZ03,OT,CR
3,88822,OTSZ03,OT,CR
3,88460,OTSZ03,OT,CR
3,78976,OTSZ03,OT,CR
3,89616,OTSZ03,OT,CR
3,89502,OTSZ03,OT,CR
3,89677,OTSZ03,OT,CR
3,89617,OTSZ03,OT,CR
3,88823,OTSZ03,OT,CR
3,78978,OTSZ03,OT,CR
3,89590,OTSZ03,OT,CR
3,89618,OTSZ03,OT,CR
3,89504,OTSZ03,OT,CR
3,78979,OTSZ03,OT,CR
3,89619,OTSZ03,OT,CR
3,89505,OTSZ03,OT,CR
3,78980,OTSZ03,OT,CR
3,89506,OTSZ03,OT,CR
3,89681,OTSZ03,OT,CR
3,89507,OTSZ03,OT,CR
